505,2884
176,0
6787,19859
799,4265
1833,10884
2129,0
3405,15262
3408,12148
5934,21227
10180,49493
31467,71418
435,2975
1901,0
326,0
411,0
496,2849
845,4149
593,3374
604,3542
704,4069
649,3840
44329,73827
719,4479
675,4283
636,4030
815,4218
724,4301
874,4765
1169,6536
1003,4333
406,2158
1155,5164
11441,63214
708,0
3788,16151
1631,0
3769,11616
4398,13430
71167,176375
20981,30738
7687,0
28569,77742
4922,19565
25476,0
2102,0
21958,0
2961,13966
5808,22036
443,0
108667,221395
194504,575143
1047,0
29665,85975
9174,39731
1516,7291
4203,16878
26588,0
19218,69876
5529,22217
3897,0
5209,16916
5338,16803
11220,29495
28758,56473
78715,128177
168114,242632
99653,0
6925,20924
22344,0
10351,0
17005,41412
20252,38052
9639,22959
1304,4882
13274,25348
15853,30448
49456,60370
1476,0
23602,42528
63248,90295
13570,0
18660,55637
24897,0
1492,0
1066,0
22748,49768
1167,0
774,1593
567,2364
637,0
1544,0
2672,9695
11601,0
1450,6029
444,0
80,277
1149,3349
3757,0
3029,0
1298,3555
2168,4675
1386,4398
11153,0
23273,48079
674,0
512,0
1036,3084
1043,0
4584,0
3407,5770
7003,0
1004,2132
1730,5930
22232,0
4246,6307
112,510
170,554
23579,38083
809,2506
5893,0
974,2553
1089,3801
17297,23600
22471,27086
1212,1856
2196,5158
1763,5086
1188,3324
291,1326
868,2673
350,1462
663,1963
292,1142
595,1905
316,1151
745,1966
325,1175
643,2079
351,1290
784,2335
528,1611
1433,3347
428,1679
1949,4908
6023,13105
9666,16147
20747,28495
2911,6819
22864,31238
12390,21377
73462,72245
2632,0
2374,0
1543,3993
9151,20403
643,0
3154,5917
2485,4730
8691,0
2157,0
22382,0
3318,6586
804,2641
6735,0
2836,6790
685,0
19002,28569
1704,3558
1615,0
115,403
170,502
217,537
1887,3182
1425,0
276,793
7064,10284
11479,23804
2483,6826
1392,0
472,1386
2096,5581
1744,0
9477,11003
596,0
3000,0
1463,3857
457,0
299,734
5374,8637
497,937
300,0
137,0
3042,7571
147,0
3492,0
213,0
58,280
634,0
54174,0
72486,66436
1599,0
1458,4349
207,0
912,1930
7954,8989
925,2432
1078,0
686,1347
581,1304
1343,1995
1111,0
3140,3757
248,0
949,0
2069,3918
2089,0
543,1537
8381,15058
2633,3476
37663,43285
8516,0
3265,3973
1143,0
2227,3106
5812,10280
13678,0
2181,2846
562,1255
6770,10990
593,0
32489,39266
31066,33513
3203,2850
822,1804
140,0
929,0
1529,0
1593,1915
7382,12751
5871,9630
1135,2995
3439,7819
649,1624
97,382
434,1099
180,797
208,560
8752,9769
287,681
1167,1624
12522,14933
1454,2580
2170,3170
701,0
4408,7811
4294,7438
901,0
1276,0
4227,8226
3736,8101
4752,9825
513,0
2005,3022
19777,27374
1294,0
561,0
52916,44127
10466,16648
8397,15505
22173,18963
21278,19466
154,624
6672,12313
113,433
2585,3047
26337,22638
1907,5253
652,0
4828,4467
1196,1757
5371,7729
1604,2096
682,1166
3554,5726
4772,0
2226,0
8370,6290
74,192
1066,2301
784,1025
6732,8974
13358,0
363,0
456,876
948,1304
503,883
974,1342
532,0
1826,1838
574,0
630,851
651,0
7575,8094
1414,0
523,0
1421,1640
2048,3072
435,583
305,595
4695,5033
2202,1911
3356,3312
1949,3169
87,246
423,543
848,1311
224,567
1289,1327
257,410
232,374
223,388
284,452
14383,9887
480,675
137,321
249,417
1690,1766
403,439
348,823
313,499
302,412
768,1033
1369,2101
2031,1202
8742,6857
567,419
158,0
9295,4114
384,386
1954,1030
1367,1471
661,617
373,0
3709,1668
903,634
850,666
9220,17961
8168,3812
379,0
5984,5904
2831,2201
495,0
533,446
1336,0
476,561
363,356
5937,0
325,407
1312,805
2804,2908
166,217
470,545
622,568
676,697
1256,0
771,1948
3199,2093
1607,1225
186,213
27606,23803
135,161
30,86
739,451
692,490
3791,3889
508,406
633,750
358,257
794,585
87,0
1299,814
9489,3312
362,0
2204,2315
1086,878
166,186
676,462
1842,1546
1044,0
1116,895
554,425
133,180
552,520
68,91
566,1196
208,294
265,0
34,83
1141,880
246,183
2276,862
4029,1445
518,0
1124,1990
2221,1785
330,0
509,378
80,0
1617,1229
871,0
65,141
65,123
903,647
314,0
804,380
1887,724
6460,2689
57,89
140,138
653,361
2963,1299
390,414
2665,1100
284,178
828,531
1442,0
160,234
7483,3293
193,0
275,224
63,0
188,157
328,0
549,353
547,0
461,1178
635,445
233,0
892,576
1250,878
811,673
25,56
1530,0
93,98
653,610
180,0
2100,1043
1339,942
23,70
1044,599
1013,561
315,239
5526,1934
346,0
813,663
77,88
228,203
551,0
4818,1887
827,694
477,0
278,218
152,124
609,380
181,205
18,46
384,318
4846,1449
18,45
481,346
472,982
362,275
77,101
533,436
33,64
18,45
18,53
170,201
22,51
25,56
178,207
1222,809
3927,1810
2484,1221
478,0
169,169
1228,1001
30,56
12,51
12,41
14,45
722,528
1574,693
1333,0
193,0
10587,0
2729,1261
13826,4420
1462,3283
165,0
1096,889
734,1479
6198,1602
2329,1054
392,139
172,105
252,196
136,0
13,44
3291,1217
918,465
292,397
262,0
1051,0
420,750
221,107
708,0
1706,544
293,502
2716,814
7870,2255
460,157
1682,469
4553,1385
647,241
16783,6122
10316,2664
1076,448
283,119
146,95
303,168
454,263
184,0
1069,847
429,123
195,106
344,93
379,143
31,29
183,96
109,83
121,65
433,146
48,0
581,0
2051,522
218,100
183,100
228,0
3229,726
2279,866
4066,1376
2989,786
11,33
66,75
1716,0
560,300
635,156
340,642
22,34
140,73
76,0
9,31
103,71
236,161
17303,4366
259,82
6,37
340,144
1225,401
838,327
7,25
11,33
116,106
2744,648
661,216
11,27
152,99
605,237
294,121
370,139
5212,1692
828,0
1731,647
630,419
124,77
166,156
477,193
270,0
84,77
4058,896
68,51
102,0
377,607
2544,1015
881,174
225,103
767,319
1429,405
794,1078
294,197
611,310
1103,583
798,338
246,0
1960,128
2108,1213
571,173
525,278
412,100
601,130
4,27
302,123
838,240
46,0
3500,1805
2086,704
92,73
95,55
754,297
1147,370
142,88
76,52
809,338
610,157
7,24
4,23
342,202
390,168
127,0
106,57
546,160
119,0
213,0
1380,495
2572,1479
6675,1441
584,211
2867,957
2238,755
946,428
422,0
179,100
126,63
329,79
1133,309
2530,627
1047,231
1348,423
4132,857
2300,929
1868,720
1958,725
2711,605
22,50
350,248
9,22
9,29
2488,481
986,374
1895,549
43,33
6327,0
143,133
769,351
809,271
102,0
6448,1239
395,81
4821,979
16,28
1103,354
32,0
47,37
152,62
398,77
421,108
948,367
1127,408
653,370
24,34
10115,5592
978,381
403,175
104,53
59,49
92,54
88,65
81,65
93,69
93,60
122,86
85,42
118,46
166,86
4,21
1111,321
5343,1924
108,58
243,181
433,320
144,0
45,0
34,0
91,0
312,159
708,319
2139,657
3458,1726
1366,551
1656,667
72,40
208,0
228,135
640,230
36,0
262,652
162,164
3066,622
418,160
1255,602
508,111
14,29
2944,911
1721,582
1005,178
418,0
4334,0
45,0
272,133
611,173
3224,547
445,70
673,191
48,45
94,56
63,40
22,48
56,67
31,51
64,44
2016,881
65,45
56,40
2318,943
622,875
191,122
45,55
472,83
272,104
445,874
14,32
551,174
1059,435
221,138
210,124
356,60
271,119
696,541
251,115
3,19
84,53
36,34
127,58
479,103
51,46
34,0
506,150
351,73
1315,201
59,51
739,215
36,32
378,178
84,66
171,75
58,50
29,32
56,45
183,124
171,64
101,45
831,265
3,18
353,169
30,32
170,65
464,114
1432,396
68,0
21,0
17,0
47,0
566,133
3523,1074
776,262
831,158
241,90
953,239
4514,1267
873,464
75,44
101,45
32,34
134,79
7080,1477
50,39
55,48
173,104
525,239
137,39
441,0
143,65
93,38
1713,344
363,172
765,210
550,156
311,123
22,36
269,79
509,219
32,31
262,141
83,0
9,28
26,33
2,21
5,25
50,62
489,0
74,65
30,38
3,17
31,34
47,53
29,47
45,52
3031,1267
245,85
230,77
3719,684
467,187
1296,0
869,358
3552,602
1339,311
4073,1163
116,63
333,174
728,183
867,214
335,121
677,192
242,296
2763,534
5,15
94,0
3596,631
225,0
301,143
2737,676
27,30
83,31
118,55
375,112
91,0
3204,2085
2315,858
184,57
101,46
401,170
209,46
5,14
1999,3531
106,0
315,61
327,78
3,14
3,14
11,0
8,0
563,144
148,70
315,150
493,169
11157,10444
94,42
147,39
219,76
190,409
115,47
4167,1117
1975,451
114,30
398,91
664,144
188,137
6,15
78,24
12,24
91,0
24,17
109,54
3,14
333,62
185,150
228,57
1446,292
1638,388
255,68
110,48
256,0
39,23
204,62
142,133
1135,319
1734,324
40,24
83,33
27,13
157,54
60,0
89,41
214,98
7356,1495
128,56
4900,1202
85,51
31,21
31,21
32,0
9,0
72,38
51,40
296,154
347,74
1,11
6,12
1,10
8,12
3,10
3,13
6074,5613
19,16
4,12
434,146
95,0
169,233
555,158
225,67
581,129
1875,448
3364,599
4,10
4,11
13,18
117,42
9,14
527,93
639,239
84,42
106,58
681,0
8,14
11,18
543,0
321,104
3471,703
2006,794
507,233
304,164
286,118
379,194
6029,2237
232,90
394,79
648,192
230,0
2018,363
90,0
259,0
136,211
389,102
113,70
3002,558
109,0
671,142
264,75
5631,1466
3846,1034
648,99
16,15
304,102
707,308
3,10
591,91
659,97
233,80
1173,106
1249,197
2,12
1498,542
227,90
464,74
165,0
403,55
57,25
186,0
1963,935
467,65
686,0
121,49
3,13
390,83
66,17
362,95
550,142
6,13
14,27
3,11
181,48
493,117
174,26
119,43
513,150
187,58
4008,525
1845,430
111,54
155,56
420,204
2834,1036
863,168
2549,691
114,81
2411,301
1481,456
1286,151
723,155
1870,356
221,0
122,46
40,16
73,22
191,39
332,75
43,18
325,73
230,83
218,39
711,91
1219,275
560,73
943,206
294,0
155,62
1207,174
176,85
477,54
31,12
401,144
3803,0
859,217
1557,0
10,22
3,9
3873,691
483,88
1399,213
791,166
345,325
514,59
1658,171
2,10
1,9
1621,159
214,64
205,0
132,55
60,0
42,18
1568,145
261,61
1425,97
725,140
525,57
2,11
1176,106
257,35
158,65
190,45
276,130
1603,203
1247,117
86,25
430,36
88,27
64,19
307,56
96,46
65,15
157,43
129,22
317,42
8,9
88,0
177,42
446,67
405,84
70,23
4064,605
1493,261
374,37
304,0
56,19
259,55
4,11
229,68
33,23
45,0
20,11
32,0
15,0
7,10
107,33
21,11
166,0
30,16
51,20
69,32
3188,404
75,0
173,0
37,0
338,49
175,0
194,0
446,51
417,0
116,0
76,0
101,20
113,25
420,48
13,22
398,0
288,0
1313,94
980,109
177,48
22,14
13,0
21,12
11,13
92,21
6,13
9,11
1,10
62,24
118,43
121,20
6,12
171,38
64,23
20,21
77,17
4,11
1,11
137,0
66,39
88,28
16,13
1884,238
269,48
211,15
329,60
14,11
16,13
180,32
44,127
48,19
312,46
194,58
170,42
304,312
39,22
196,0
2061,321
5,10
2,12
20,16
0,11
0,11
27,23
53,22
61,21
151,29
91,21
97,0
143,35
784,91
725,104
1663,463
60,27
93,56
43,23
30,16
18,12
40,17
101,28
159,57
56,27
130,0
261,76
339,57
377,60
306,31
76,34
146,33
4,11
4,11
3,9
89,26
129,23
919,318
408,58
144,19
1165,233
437,55
47,17
114,21
266,29
49,13
90,28
1,9
9,8
258,39
24,14
137,0
21,10
3,9
37,7
361,28
248,27
3,7
1,3
16,4
244,21
3,12
2,5
83,15
470,57
110,18
531,27
378,22
28,9
230,33
40,8
999,89
1747,248
859,138
808,60
15,55
169,16
0,3
442,41
372,40
87,0
448,34
2,3
270,22
38,7
48,7
8,3
12,2
52,0
20,6
5,1
21,2
232,16
309,35
70,0
364,63
714,184
3,2
122,16
408,0
513,95
6,6
0,3
239,29
68,23
26,4
42,0
822,125
455,45
103,74
94,22
38,8
12,5
137,32
151,17
12,4
1,6
11,4
117,13
2788,1513
46,9
139,31
140,14
152,0
61,24
29,0
2546,190
95,12
73,11
2604,199
55,17
43,11
44,18
33,3
227,36
946,136
51,8
347,105
455,44
193,18
4,0
3,1
92,16
54,29
146,0
237,0
21,3
135,11
10,6
276,22
195,23
227,23
24,3
162,107
143,137
83,0
129,25
2,1
59,11
23,2
178,149
129,35
42,6
759,56
710,42
265,52
82,0
30,3
30,4
56,7
838,92
1,0
538,55
62,12
121,4
63,4
75,2
264,29
36,0
13,0
119,13
101,6
13,0
163,0
34,0
28,4
267,20
168,7
46,0
221,0
137,0
100,0
22,0
106,5
45,0
40,0
22,0
23,0
118,7
78,0
60,0
36,0
121,5
33,3
20,2
28,2
134,0
179,0
32,0
40,14
48,3
11,0
21,0
19,0
125,14
45,0
89,0
42,0
196,19
142,13
39,5
17,2
5,1
4,0
160,11
1686,68
3,2
231,32
104,2
104,13
62,0
96,0
168,21
17,2
46,0
117,5
172,9
35,3
19,0
2,1
34,2
19,0
36,10
26,1
259,15
187,16
259,44
61,8
113,0
104,0
98,0
12,3
59,0
122,7
51,7
12,0
121,0
17,0
30,7
42,5
61,2
4580,504
52,6
1,0
27,4
30,4
29,2
46,13
123,15
67,4
1549,87
61,0
62,3
56,7
9,2
4,1
32,3
35,2
88,7
36,4
84,3
86,0
69,9
95,5
49,8
42,2
28,1
31,1
18,1
550,49
12,1
18,2
69,122
58,3
11,0
36,3
40,3
55,4
181,31
25,1
46,0
26,0
18,0
44,3
25,3
9,3
163,37
430,31
596,30
21,4
49,3
55,5
42,8
6,1
34,3
62,1
26,2
45,0
113,0
30,11
60,6
19,3
94,15
66,6
89,0
15,6
157,8
64,8
5,0
18,0
185,0
666,221
22,7
93,7
1,1
18,0
8,5
10,0
12,4
8,14
204,3
40,2
272,12
40,2
25,0
57,5
15,0
18,19
63,13
42,8
8,0
55,13
15,1
10,0
12,0
14,0
34,2
39,1
12,4
8,0
49,2
14,0
64,10
41,0
1,0
214,13
112,8
26,2
131,8
20,0
26,0
5,1
167,16
41,0
4,1
8,1
76,0
20,2
21,1
10,1
46,12
40,20
42,1
135,19
19,1
13,0
11,1
49,1
6,0
40,12
45,1
60,6
26,10
274,10
50,4
31,18
144,10
23,3
54,4
19,0
299,6
10,0
0,0
2,0
0,0
4,3
9,1
0,0
41,0
10,16
1,2
0,0
1,1
27,6
18,0
36,20
11,2
15,22
12,0
62,4
30,7
0,0
15,1
47,44
30,0
11,1
39,2
256,25
275,0
17,15
8,2
12,0
2,0
11,0
12,3
26,4
37,3
11,1
112,6
32,3
12,1
10,1
12,4
4,0
65,6
12,1
12,0
26,0
33,0
29,1
26,1
25,2
20,0
34,0
13,1
9,0
8,0
28,0
348,7
25,1
8,2
26,5
9,1
5,0
8,0
32,0
32,10
23,0
14,0
18,1
64,4
21,2
78,14
8,1
95,20
30,4
362,7
21,2
2,0
19,2
31,0
20,0
0,1
33,5
91,0
50,7
24,3
36,0
110,5
18,3
37,13
0,1
103,7
5,0
10,1
21,0
34,2
259,0
29,4
57,6
24,0
5,0
19,5
6,2
90,5
174,10
0,0
14,0
17,1
27,2
223,5
18,1
9,0
317,5
14,0
129,15
48,4
158,5
405,4
114,9
236,9
22,2
29,3
35,4
56,2
1,1
0,1
76,2
3,3
15,22
34,3
72,5
28,6
0,2
22,11
281,5
30,8
78,7
4,2
39,9
256,0
0,1
13,5
6,2
31,4
0,0
10,2
5,2
18,6
42,3
5,3
11,5
9,4
161,10
16,1
0,1
19,1
136,2
21,4
88,6
226,8
15,0
9,1
11,2
57,7
35,0
14,1
110,9
19,0
3,2
241,4
8,0
7,5
35,0
17,4
12,1
15,1
0,3
13,1
7,1
176,6
29,5
258,6
57,0
13,0
5,2
2,2
0,1
72,5
45,7
13,1
18,8
37,3
118,8
286,13
63,10
10,2
4,0
2,1
10,3
12,0
0,0
25,6
48,9
5,1
17,4
34,0
31,0
8,1
63,5
6,1
39,6
8,0
0,1
0,6
3,1
0,1
6,1
4,1
57,20
2,1
0,2
9,1
11,1
1,1
6,1
0,1
20,2
43,26
343,4
40,7
14,0
14,1
22,6
16,5
0,1
4,2
103,4
3,2
91,10
108,14
104,2
23,2
15,2
14,2
7,1
41,6
15,0
16,1
48,3
38,6
20,0
0,0
1,0
8,0
7,1
31,0
21,2
331,25
0,1
2,1
2,7
1,1
3,2
10,1
9,0
14,0
12,2
79,1
2,1
3,1
1,3
8,3
4,1
14,2
71,3
5,0
2,6
13,0
17,0
1,0
5,0
11,0
12,3
85,2
3,1
5,3
45,11
110,0
5,1
104,5
3,1
5,4
4,3
0,0
92,8
68,8
106,20
4,2
151,140
1,0
0,2
52,11
5,3
1,2
14,4
74,3
5,1
1,1
6,0
11,1
31,0
28,0
1,0
1,0
71,6
56,2
17,4
10,2
8,0
9,0
16,0
5,0
29,0
29,0
42,0
19,3
25,4
26,3
12,0
99,2
3,1
10,3
0,2
0,2
16,1
36,0
53,5
10,2
3,1
5,2
28,5
4,0
12,1
8,2
50,4
86,3
12,1
15,0
14,0
1,2
34,0
7,1
26,1
3,2
11,0
10,0
11,1
13,0
6,2
26,0
4,0
16,1
4,0
9,0
60,0
27,0
13,3
5,0
20,0
12,0
0,0
8,5
7,0
4,0
5,0
20,0
6,1
22,0
4,0
5,1
3,1
28,6
8,0
2,0
18,1
1,0
5,0
2,1
0,0
20,2
56,1
21,1
14,0
10,0
86,4
15,0
3,0
19,3
51,1
13,0
0,0
0,1
5,1
